time,linear_x,angular_z
1778486541850533750,0.10999999999999999,0.0
1778486541951280768,0.10999999999999999,0.0
1778486542051987194,0.10999999999999999,0.0
1778486542152626065,0.10999999999999999,0.0
1778486542253441159,0.10999999999999999,0.0
1778486542354136586,0.10999999999999999,0.0
1778486542454750224,0.10999999999999999,0.0
1778486542555387051,0.10999999999999999,0.0
1778486542655955792,0.10999999999999999,0.0
1778486542756578899,0.10999999999999999,0.0
1778486542857136928,0.10999999999999999,0.0
1778486542957798077,0.10999999999999999,0.0
1778486543058426354,0.10999999999999999,0.0
1778486543158895180,0.10999999999999999,0.0
1778486543259640788,0.10999999999999999,0.0
1778486543360230056,0.10999999999999999,0.0
1778486543460956141,0.10999999999999999,0.0
1778486543561496786,0.10999999999999999,0.0
1778486543662035423,0.10999999999999999,0.0
1778486543762696051,0.10999999999999999,0.0
1778486543863374895,0.10999999999999999,0.0
1778486543964086220,0.10999999999999999,0.0
1778486544064591126,0.10999999999999999,0.0
1778486544165422840,0.10999999999999999,0.0
1778486544265951162,0.10999999999999999,0.0
1778486544366579328,0.10999999999999999,0.0
1778486544467160160,0.10999999999999999,0.0
1778486544567841088,0.10999999999999999,0.0
1778486544668489551,0.10999999999999999,0.0
1778486544769034117,0.10999999999999999,0.0
1778486544869766845,0.10999999999999999,0.0
1778486544970239523,0.10999999999999999,0.0
1778486545070938549,0.10999999999999999,0.0
1778486545171679206,0.10999999999999999,0.0
1778486545272396675,0.10999999999999999,0.0
1778486545372395343,0.10999999999999999,0.0
1778486545473235068,0.10999999999999999,0.0
1778486545573814283,0.10999999999999999,0.0
1778486545674394922,0.10999999999999999,0.0
1778486545775042199,0.10999999999999999,0.0
1778486545875735706,0.10999999999999999,0.0
1778486545975938072,0.10999999999999999,0.0
1778486546076399528,0.10999999999999999,0.0
1778486546177310440,0.10999999999999999,0.0
1778486546277778470,0.10999999999999999,0.0
1778486546378042220,0.10999999999999999,0.0
1778486546478653400,0.10999999999999999,0.0
1778486546579418485,0.10999999999999999,0.0
1778486546680089064,0.10999999999999999,0.0
1778486546780321325,0.10999999999999999,0.0
1778486546880655700,0.10999999999999999,0.0
1778486546981449354,0.10999999999999999,0.0
1778486547082182816,0.10999999999999999,0.0
1778486547182815092,0.10999999999999999,0.0
1778486547283400074,0.10999999999999999,0.0
1778486547384203353,0.10999999999999999,0.0
1778486547484757662,0.10999999999999999,0.0
1778486547585265675,0.10999999999999999,0.0
1778486547685856899,0.10999999999999999,0.0
1778486547786100515,0.10999999999999999,0.0
1778486547886894095,0.10999999999999999,0.0
1778486547987090437,0.10999999999999999,0.0
1778486548087835889,0.10999999999999999,0.0
1778486548188445339,0.10999999999999999,0.0
1778486548289388302,0.10999999999999999,0.0
1778486548389981797,0.10999999999999999,0.0
1778486548490625876,0.10999999999999999,0.0
1778486548591231774,0.10999999999999999,0.0
1778486548691778926,0.10999999999999999,0.0
1778486548792474425,0.10999999999999999,0.0
1778486548893195138,0.10999999999999999,0.0
1778486548993742684,0.10999999999999999,0.0
1778486549093840770,0.10999999999999999,0.0
1778486549194685410,0.10999999999999999,0.0
1778486549295316549,0.10999999999999999,0.0
1778486549395960881,0.10999999999999999,0.0
1778486549496622257,0.10999999999999999,0.0
1778486549597171475,0.10999999999999999,0.0
1778486549697830773,0.10999999999999999,0.0
1778486549798557128,0.10999999999999999,0.0
1778486549899105484,0.10999999999999999,0.0
1778486549999265438,0.10999999999999999,0.0
1778486550099444481,0.10999999999999999,0.0
1778486550199723046,0.10999999999999999,0.0
1778486550300210530,0.10999999999999999,0.0
1778486550400410992,0.10999999999999999,0.0
1778486550501298286,0.10999999999999999,0.0
1778486550601724869,0.10999999999999999,0.0
1778486550702311427,0.10999999999999999,0.0
1778486550802987259,0.10999999999999999,0.0
1778486550903565250,0.10999999999999999,0.0
1778486551004116377,0.10999999999999999,0.0
1778486551104774133,0.10999999999999999,0.0
1778486551205452914,0.10999999999999999,0.0
1778486551306468524,0.10999999999999999,0.0
1778486551407034915,0.10999999999999999,0.0
1778486551507654253,0.10999999999999999,0.0
1778486551608235726,0.10999999999999999,0.0
1778486551709001767,0.10999999999999999,0.0
1778486551809372664,0.10999999999999999,0.0
